"Tabela 1419 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Brasil"
"Mês";"Geral, grupo, subgrupo, item e subitem";"IPCA - Variação mensal (%)";"IPCA - Peso mensal (%)"
"dezembro 2015";"7201010.Instrumento musical";"1,01";"0,0448"
"dezembro 2015";"7201018.Tratamento de animais";"0,11";"0,2184"
"dezembro 2015";"7201019.Bicicleta";"-0,07";"0,0987"
"dezembro 2015";"7201020.Alimento para animais";"0,47";"0,2459"
"dezembro 2015";"7201023.Brinquedo";"0,09";"0,4296"
"dezembro 2015";"7201052.Locação de DVD";"-1,01";"0,1231"
"dezembro 2015";"7201054.Boate e danceteria";"-0,01";"0,2766"
"dezembro 2015";"7201063.Jogos de azar";"0,00";"0,5034"
"dezembro 2015";"7201068.Motel";"0,16";"0,0039"
"dezembro 2015";"7201090.Hotel";"-0,09";"0,3803"
"dezembro 2015";"7201095.Excursão";"5,76";"0,3427"
"dezembro 2015";"7202.Fumo";"0,00";"0,9912"
"dezembro 2015";"7203.Fotografia e filmagem";"1,72";"0,0688"
"dezembro 2015";"8101.Cursos regulares";"0,00";"2,9101"
"dezembro 2015";"8102.Leitura";"1,36";"0,5253"
"dezembro 2015";"8103.Papelaria";"0,85";"0,3354"
"dezembro 2015";"8104.Cursos diversos";"0,00";"0,7940"
"dezembro 2015";"9.Comunicação";"0,43";"3,8923"
"janeiro 2016";"Índice geral";"1,27";"100,0000"
"janeiro 2016";"1.Alimentação e bebidas";"2,28";"25,2348"
"janeiro 2016";"2101.Aluguel e taxas";"0,61";"7,1201"
"janeiro 2016";"2103.Reparos";"0,09";"2,4446"
"janeiro 2016";"2104.Artigos de limpeza";"1,86";"0,8612"
"janeiro 2016";"22.Combustíveis e energia";"1,25";"5,3145"
"janeiro 2016";"3.Artigos de residência";"0,45";"4,2761"
"janeiro 2016";"4.Vestuário";"-0,24";"6,1190"
"janeiro 2016";"5101.Transporte público";"3,84";"4,5966"
"janeiro 2016";"5102.Veículo próprio";"0,44";"8,5138"
"janeiro 2016";"5104.Combustíveis (veículos)";"2,11";"5,3331"
"janeiro 2016";"61.Produtos farmacêuticos e óticos";"0,35";"3,4961"
"janeiro 2016";"62.Serviços de saúde";"1,27";"5,0223"
"janeiro 2016";"63.Cuidados pessoais";"0,52";"2,6270"
"janeiro 2016";"71.Serviços pessoais";"0,58";"6,5200"
"janeiro 2016";"7201001.Cinema";"1,67";"0,1852"
"janeiro 2016";"7201002.CD e DVD";"0,18";"0,0489"
"janeiro 2016";"7201003.Ingresso para jogo";"0,00";"0,0118"
"janeiro 2016";"7201006.Clube";"2,31";"0,1577"
"janeiro 2016";"7201010.Instrumento musical";"0,87";"0,0449"
"janeiro 2016";"7201018.Tratamento de animais";"1,43";"0,2166"
"janeiro 2016";"7201019.Bicicleta";"1,05";"0,0976"
"janeiro 2016";"7201020.Alimento para animais";"0,81";"0,2447"
"janeiro 2016";"7201023.Brinquedo";"1,33";"0,4260"
"janeiro 2016";"7201052.Locação de DVD";"-0,90";"0,1207"
"janeiro 2016";"7201054.Boate e danceteria";"0,51";"0,2740"
"janeiro 2016";"7201063.Jogos de azar";"0,00";"0,4985"
"janeiro 2016";"7201068.Motel";"3,19";"0,0038"
"janeiro 2016";"7201090.Hotel";"1,46";"0,3764"
"janeiro 2016";"7201095.Excursão";"6,98";"0,3588"
"janeiro 2016";"7202.Fumo";"3,81";"0,9820"
"janeiro 2016";"7203.Fotografia e filmagem";"2,49";"0,0694"
"janeiro 2016";"8101.Cursos regulares";"0,00";"2,8828"
"janeiro 2016";"8102.Leitura";"1,62";"0,5273"
"janeiro 2016";"8103.Papelaria";"1,69";"0,3350"
"janeiro 2016";"8104.Cursos diversos";"0,00";"0,7864"
"janeiro 2016";"9.Comunicação";"0,22";"3,8721"
"fevereiro 2016";"Índice geral";"0,90";"100,0000"
"fevereiro 2016";"1.Alimentação e bebidas";"1,06";"25,4829"
"fevereiro 2016";"2101.Aluguel e taxas";"0,68";"7,0726"
"fevereiro 2016";"2103.Reparos";"0,56";"2,4162"
"fevereiro 2016";"2104.Artigos de limpeza";"1,07";"0,8665"
"fevereiro 2016";"22.Combustíveis e energia";"-1,77";"5,3132"
"fevereiro 2016";"3.Artigos de residência";"1,01";"4,2415"
"fevereiro 2016";"4.Vestuário";"0,24";"6,0287"
"fevereiro 2016";"5101.Transporte público";"0,47";"4,7103"
"fevereiro 2016";"5102.Veículo próprio";"0,32";"8,4466"
"fevereiro 2016";"5104.Combustíveis (veículos)";"1,21";"5,3790"
"fevereiro 2016";"61.Produtos farmacêuticos e óticos";"0,28";"3,4643"
"fevereiro 2016";"62.Serviços de saúde";"0,90";"5,0221"
"fevereiro 2016";"63.Cuidados pessoais";"1,90";"2,6077"
"fevereiro 2016";"71.Serviços pessoais";"0,67";"6,4755"
"fevereiro 2016";"7201001.Cinema";"0,68";"0,1859"
"fevereiro 2016";"7201002.CD e DVD";"0,03";"0,0484"
"fevereiro 2016";"7201003.Ingresso para jogo";"1,56";"0,0117"
"fevereiro 2016";"7201006.Clube";"3,64";"0,1595"
"fevereiro 2016";"7201010.Instrumento musical";"0,71";"0,0446"
"fevereiro 2016";"7201018.Tratamento de animais";"2,03";"0,2170"
"fevereiro 2016";"7201019.Bicicleta";"0,85";"0,0975"
"fevereiro 2016";"7201020.Alimento para animais";"0,26";"0,2436"
"fevereiro 2016";"7201023.Brinquedo";"1,46";"0,4264"
"fevereiro 2016";"7201052.Locação de DVD";"0,10";"0,1181"
"fevereiro 2016";"7201054.Boate e danceteria";"0,56";"0,2719"
"fevereiro 2016";"7201063.Jogos de azar";"0,00";"0,4922"
"fevereiro 2016";"7201068.Motel";"-0,38";"0,0039"
"fevereiro 2016";"7201090.Hotel";"-1,28";"0,3772"
"fevereiro 2016";"7201095.Excursão";"0,84";"0,3786"
"fevereiro 2016";"7202.Fumo";"1,89";"1,0067"
"fevereiro 2016";"7203.Fotografia e filmagem";"-0,21";"0,0702"
"fevereiro 2016";"8101.Cursos regulares";"7,43";"2,8465"
"fevereiro 2016";"8102.Leitura";"0,87";"0,5288"
"fevereiro 2016";"8103.Papelaria";"1,80";"0,3364"
"fevereiro 2016";"8104.Cursos diversos";"5,53";"0,7764"
"fevereiro 2016";"9.Comunicação";"0,66";"3,8313"
"março 2016";"Índice geral";"0,43";"100,0000"
"março 2016";"1.Alimentação e bebidas";"1,24";"25,5210"
"março 2016";"2101.Aluguel e taxas";"0,16";"7,0586"
"março 2016";"2103.Reparos";"0,53";"2,4082"
"março 2016";"2104.Artigos de limpeza";"1,74";"0,8678"
"março 2016";"22.Combustíveis e energia";"-2,67";"5,1736"
"março 2016";"3.Artigos de residência";"0,70";"4,2457"
"março 2016";"4.Vestuário";"0,69";"5,9886"
"março 2016";"5101.Transporte público";"-0,72";"4,6908"
"março 2016";"5102.Veículo próprio";"0,20";"8,3988"
"março 2016";"5104.Combustíveis (veículos)";"0,85";"5,3964"
"março 2016";"61.Produtos farmacêuticos e óticos";"0,40";"3,4431"
"março 2016";"62.Serviços de saúde";"0,80";"5,0232"
"março 2016";"63.Cuidados pessoais";"1,25";"2,6332"
"março 2016";"71.Serviços pessoais";"0,80";"6,4616"
"março 2016";"7201001.Cinema";"0,46";"0,1856"
"março 2016";"7201002.CD e DVD";"-0,14";"0,0480"
"março 2016";"7201003.Ingresso para jogo";"0,90";"0,0117"
"março 2016";"7201006.Clube";"1,40";"0,1639"
"março 2016";"7201010.Instrumento musical";"0,71";"0,0446"
"março 2016";"7201018.Tratamento de animais";"0,98";"0,2196"
"março 2016";"7201019.Bicicleta";"0,18";"0,0974"
"março 2016";"7201020.Alimento para animais";"0,73";"0,2421"
"março 2016";"7201023.Brinquedo";"-0,60";"0,4288"
"março 2016";"7201052.Locação de DVD";"-0,33";"0,1172"
"março 2016";"7201054.Boate e danceteria";"0,01";"0,2710"
"março 2016";"7201063.Jogos de azar";"0,00";"0,4878"
"março 2016";"7201068.Motel";"-0,29";"0,0038"
"março 2016";"7201090.Hotel";"0,10";"0,3691"
"março 2016";"7201095.Excursão";"-2,49";"0,3788"
"março 2016";"7202.Fumo";"1,48";"1,0168"
"março 2016";"7203.Fotografia e filmagem";"0,99";"0,0694"
"março 2016";"8101.Cursos regulares";"0,62";"3,0309"
"março 2016";"8102.Leitura";"0,54";"0,5288"
"março 2016";"8103.Papelaria";"1,42";"0,3394"
"março 2016";"8104.Cursos diversos";"0,37";"0,8121"
"março 2016";"9.Comunicação";"-1,65";"3,8228"
"abril 2016";"Índice geral";"0,61";"100,0000"
"abril 2016";"1.Alimentação e bebidas";"1,09";"25,7281"
"abril 2016";"2101.Aluguel e taxas";"0,54";"7,0400"
"abril 2016";"2103.Reparos";"0,38";"2,4104"
"abril 2016";"2104.Artigos de limpeza";"1,46";"0,8790"
"abril 2016";"22.Combustíveis e energia";"-2,35";"5,0130"
"abril 2016";"3.Artigos de residência";"0,26";"4,2570"
"abril 2016";"4.Vestuário";"0,40";"6,0044"
"abril 2016";"5101.Transporte público";"0,59";"4,6382"
"abril 2016";"5102.Veículo próprio";"0,41";"8,3779"
"abril 2016";"5104.Combustíveis (veículos)";"-1,04";"5,4175"
"abril 2016";"61.Produtos farmacêuticos e óticos";"5,82";"3,4420"
"abril 2016";"62.Serviços de saúde";"0,86";"5,0410"
"abril 2016";"63.Cuidados pessoais";"0,58";"2,6547"
"abril 2016";"71.Serviços pessoais";"0,49";"6,4852"
"abril 2016";"7201001.Cinema";"1,36";"0,1856"
"abril 2016";"7201002.CD e DVD";"-0,33";"0,0477"
"abril 2016";"7201003.Ingresso para jogo";"0,67";"0,0118"
"abril 2016";"7201006.Clube";"0,44";"0,1653"
"abril 2016";"7201010.Instrumento musical";"1,53";"0,0447"
"abril 2016";"7201018.Tratamento de animais";"0,73";"0,2206"
"abril 2016";"7201019.Bicicleta";"-0,06";"0,0972"
"abril 2016";"7201020.Alimento para animais";"0,73";"0,2427"
"abril 2016";"7201023.Brinquedo";"1,57";"0,4243"
"abril 2016";"7201052.Locação de DVD";"-0,70";"0,1163"
"abril 2016";"7201054.Boate e danceteria";"-0,74";"0,2697"
"abril 2016";"7201063.Jogos de azar";"0,00";"0,4857"
"abril 2016";"7201068.Motel";"-1,72";"0,0038"
"abril 2016";"7201090.Hotel";"-0,43";"0,3680"
"abril 2016";"7201095.Excursão";"-2,21";"0,3677"
"abril 2016";"7202.Fumo";"-0,99";"1,0269"
"abril 2016";"7203.Fotografia e filmagem";"2,08";"0,0698"
"abril 2016";"8101.Cursos regulares";"0,00";"3,0364"
"abril 2016";"8102.Leitura";"1,28";"0,5294"
"abril 2016";"8103.Papelaria";"0,82";"0,3427"
"abril 2016";"8104.Cursos diversos";"0,00";"0,8115"
"abril 2016";"9.Comunicação";"1,47";"3,7436"
"maio 2016";"Índice geral";"0,78";"100,0000"
"maio 2016";"1.Alimentação e bebidas";"0,78";"25,8461"
"maio 2016";"2101.Aluguel e taxas";"2,55";"7,0362"
"maio 2016";"2103.Reparos";"0,54";"2,4046"
"maio 2016";"2104.Artigos de limpeza";"0,85";"0,8863"
"maio 2016";"22.Combustíveis e energia";"1,49";"4,8649"
"maio 2016";"3.Artigos de residência";"0,63";"4,2414"
"maio 2016";"4.Vestuário";"0,91";"5,9909"
"maio 2016";"5101.Transporte público";"-0,61";"4,6374"
"maio 2016";"5102.Veículo próprio";"0,61";"8,3630"
"maio 2016";"5104.Combustíveis (veículos)";"-2,43";"5,3294"
"maio 2016";"61.Produtos farmacêuticos e óticos";"2,88";"3,6198"
"maio 2016";"62.Serviços de saúde";"0,96";"5,0552"
"maio 2016";"63.Cuidados pessoais";"1,17";"2,6534"
"maio 2016";"71.Serviços pessoais";"0,64";"6,4782"
"maio 2016";"7201001.Cinema";"1,33";"0,1871"
"maio 2016";"7201002.CD e DVD";"0,18";"0,0473"
"maio 2016";"7201003.Ingresso para jogo";"1,34";"0,0118"
"maio 2016";"7201006.Clube";"0,89";"0,1651"
"maio 2016";"7201010.Instrumento musical";"0,41";"0,0451"
"maio 2016";"7201018.Tratamento de animais";"0,49";"0,2210"
"maio 2016";"7201019.Bicicleta";"-0,07";"0,0965"
"maio 2016";"7201020.Alimento para animais";"2,62";"0,2430"
"maio 2016";"7201023.Brinquedo";"0,42";"0,4284"
"maio 2016";"7201052.Locação de DVD";"-0,50";"0,1147"
"maio 2016";"7201054.Boate e danceteria";"0,37";"0,2660"
"maio 2016";"7201063.Jogos de azar";"0,00";"0,4827"
"maio 2016";"7201068.Motel";"-1,18";"0,0037"
"maio 2016";"7201090.Hotel";"-0,98";"0,3642"
"maio 2016";"7201095.Excursão";"-1,28";"0,3573"
"maio 2016";"7202.Fumo";"9,33";"1,0107"
"maio 2016";"7203.Fotografia e filmagem";"2,63";"0,0708"
"maio 2016";"8101.Cursos regulares";"0,00";"3,0185"
"maio 2016";"8102.Leitura";"0,80";"0,5329"
"maio 2016";"8103.Papelaria";"0,98";"0,3434"
"maio 2016";"8104.Cursos diversos";"0,00";"0,8067"
"maio 2016";"9.Comunicação";"0,01";"3,7760"
"junho 2016";"Índice geral";"0,35";"100,0000"
"junho 2016";"1.Alimentação e bebidas";"0,71";"25,8453"
"junho 2016";"2101.Aluguel e taxas";"1,08";"7,1601"
"junho 2016";"2103.Reparos";"0,55";"2,3989"
"junho 2016";"2104.Artigos de limpeza";"1,00";"0,8869"
"junho 2016";"22.Combustíveis e energia";"-0,06";"4,8995"
"junho 2016";"3.Artigos de residência";"0,26";"4,2350"
"junho 2016";"4.Vestuário";"0,32";"5,9981"
"junho 2016";"5101.Transporte público";"-0,29";"4,5741"
"junho 2016";"5102.Veículo próprio";"-0,33";"8,3477"
"junho 2016";"5104.Combustíveis (veículos)";"-1,06";"5,1591"
"junho 2016";"61.Produtos farmacêuticos e óticos";"0,56";"3,6954"
"junho 2016";"62.Serviços de saúde";"0,94";"5,0634"
"junho 2016";"63.Cuidados pessoais";"1,00";"2,6635"
"junho 2016";"71.Serviços pessoais";"0,65";"6,4690"
"junho 2016";"7201001.Cinema";"0,13";"0,1881"
"junho 2016";"7201002.CD e DVD";"-1,06";"0,0470"
"junho 2016";"7201003.Ingresso para jogo";"-2,51";"0,0119"
"junho 2016";"7201006.Clube";"0,41";"0,1652"
"junho 2016";"7201010.Instrumento musical";"-0,49";"0,0449"
"junho 2016";"7201018.Tratamento de animais";"-0,33";"0,2203"
"junho 2016";"7201019.Bicicleta";"0,50";"0,0957"
"junho 2016";"7201020.Alimento para animais";"2,10";"0,2474"
"junho 2016";"7201023.Brinquedo";"-0,18";"0,4268"
"junho 2016";"7201052.Locação de DVD";"0,54";"0,1133"
"junho 2016";"7201054.Boate e danceteria";"-2,00";"0,2649"
"junho 2016";"7201063.Jogos de azar";"0,00";"0,4789"
"junho 2016";"7201068.Motel";"-0,61";"0,0037"
"junho 2016";"7201090.Hotel";"-1,43";"0,3578"
"junho 2016";"7201095.Excursão";"-1,84";"0,3502"
"junho 2016";"7202.Fumo";"0,61";"1,0962"
"junho 2016";"7203.Fotografia e filmagem";"0,78";"0,0721"
"junho 2016";"8101.Cursos regulares";"0,00";"2,9947"
"junho 2016";"8102.Leitura";"0,03";"0,5331"
"junho 2016";"8103.Papelaria";"1,44";"0,3441"
"junho 2016";"8104.Cursos diversos";"0,00";"0,8004"
"junho 2016";"9.Comunicação";"0,04";"3,7472"
"julho 2016";"Índice geral";"0,52";"100,0000"
"julho 2016";"1.Alimentação e bebidas";"1,32";"25,9375"
"julho 2016";"2101.Aluguel e taxas";"0,62";"7,2118"
"julho 2016";"2103.Reparos";"0,69";"2,4037"
"julho 2016";"2104.Artigos de limpeza";"0,26";"0,8926"
"julho 2016";"22.Combustíveis e energia";"-2,21";"4,8794"
"julho 2016";"3.Artigos de residência";"0,53";"4,2310"
"julho 2016";"4.Vestuário";"-0,38";"5,9964"
"julho 2016";"5101.Transporte público";"1,89";"4,5443"
"julho 2016";"5102.Veículo próprio";"0,07";"8,2913"
"julho 2016";"5104.Combustíveis (veículos)";"-0,39";"5,0869"
"julho 2016";"61.Produtos farmacêuticos e óticos";"0,23";"3,7034"
"julho 2016";"62.Serviços de saúde";"0,85";"5,0925"
"julho 2016";"63.Cuidados pessoais";"0,68";"2,6807"
"julho 2016";"71.Serviços pessoais";"0,88";"6,4873"
"julho 2016";"7201001.Cinema";"0,79";"0,1877"
"julho 2016";"7201002.CD e DVD";"1,00";"0,0463"
"julho 2016";"7201003.Ingresso para jogo";"0,28";"0,0115"
"julho 2016";"7201006.Clube";"-0,19";"0,1653"
"julho 2016";"7201010.Instrumento musical";"1,60";"0,0446"
"julho 2016";"7201018.Tratamento de animais";"0,34";"0,2188"
"julho 2016";"7201019.Bicicleta";"0,95";"0,0958"
"julho 2016";"7201020.Alimento para animais";"3,03";"0,2517"
"julho 2016";"7201023.Brinquedo";"1,51";"0,4244"
"julho 2016";"7201052.Locação de DVD";"0,14";"0,1135"
"julho 2016";"7201054.Boate e danceteria";"-0,13";"0,2587"
"julho 2016";"7201063.Jogos de azar";"0,00";"0,4773"
"julho 2016";"7201068.Motel";"1,20";"0,0036"
"julho 2016";"7201090.Hotel";"-0,23";"0,3516"
"julho 2016";"7201095.Excursão";"0,25";"0,3425"
"julho 2016";"7202.Fumo";"-0,06";"1,0990"
"julho 2016";"7203.Fotografia e filmagem";"0,05";"0,0724"
"julho 2016";"8101.Cursos regulares";"0,00";"2,9840"
"julho 2016";"8102.Leitura";"0,15";"0,5314"
"julho 2016";"8103.Papelaria";"0,28";"0,3478"
"julho 2016";"8104.Cursos diversos";"0,00";"0,7975"
"julho 2016";"9.Comunicação";"0,02";"3,7356"
"agosto 2016";"Índice geral";"0,44";"100,0000"
"agosto 2016";"1.Alimentação e bebidas";"0,30";"26,1417"
"agosto 2016";"2101.Aluguel e taxas";"0,54";"7,2201"
"agosto 2016";"2103.Reparos";"0,55";"2,4080"
"agosto 2016";"2104.Artigos de limpeza";"0,36";"0,8902"
"agosto 2016";"22.Combustíveis e energia";"-0,20";"4,7468"
"agosto 2016";"3.Artigos de residência";"0,36";"4,2311"
"agosto 2016";"4.Vestuário";"0,15";"5,9424"
"agosto 2016";"5101.Transporte público";"-0,26";"4,6060"
"agosto 2016";"5102.Veículo próprio";"0,63";"8,2558"
"agosto 2016";"5104.Combustíveis (veículos)";"0,16";"5,0416"
"agosto 2016";"61.Produtos farmacêuticos e óticos";"0,61";"3,6929"
"agosto 2016";"62.Serviços de saúde";"0,97";"5,1105"
"agosto 2016";"63.Cuidados pessoais";"0,74";"2,6847"
"agosto 2016";"71.Serviços pessoais";"0,81";"6,5108"
"agosto 2016";"7201001.Cinema";"0,61";"0,1883"
"agosto 2016";"7201002.CD e DVD";"0,06";"0,0465"
"agosto 2016";"7201003.Ingresso para jogo";"-0,95";"0,0115"
"agosto 2016";"7201006.Clube";"-0,19";"0,1643"
"agosto 2016";"7201010.Instrumento musical";"0,66";"0,0451"
"agosto 2016";"7201018.Tratamento de animais";"1,15";"0,2186"
"agosto 2016";"7201019.Bicicleta";"0,33";"0,0962"
"agosto 2016";"7201020.Alimento para animais";"-0,34";"0,2581"
"agosto 2016";"7201023.Brinquedo";"1,72";"0,4287"
"agosto 2016";"7201052.Locação de DVD";"0,52";"0,1131"
"agosto 2016";"7201054.Boate e danceteria";"-1,43";"0,2571"
"agosto 2016";"7201063.Jogos de azar";"0,00";"0,4749"
"agosto 2016";"7201068.Motel";"1,66";"0,0036"
"agosto 2016";"7201090.Hotel";"11,58";"0,3491"
"agosto 2016";"7201095.Excursão";"1,43";"0,3417"
"agosto 2016";"7202.Fumo";"-0,31";"1,0930"
"agosto 2016";"7203.Fotografia e filmagem";"0,17";"0,0720"
"agosto 2016";"8101.Cursos regulares";"0,95";"2,9687"
"agosto 2016";"8102.Leitura";"1,05";"0,5294"
"agosto 2016";"8103.Papelaria";"0,89";"0,3469"
"agosto 2016";"8104.Cursos diversos";"1,14";"0,7935"
"agosto 2016";"9.Comunicação";"-0,02";"3,7170"
"setembro 2016";"Índice geral";"0,08";"100,0000"
"setembro 2016";"1.Alimentação e bebidas";"-0,29";"26,1092"
"setembro 2016";"2101.Aluguel e taxas";"0,48";"7,2261"
"setembro 2016";"2103.Reparos";"0,45";"2,4107"
"setembro 2016";"2104.Artigos de limpeza";"0,19";"0,8898"
"setembro 2016";"22.Combustíveis e energia";"1,04";"4,7164"
"setembro 2016";"3.Artigos de residência";"-0,23";"4,2291"
"setembro 2016";"4.Vestuário";"0,43";"5,9278"
"setembro 2016";"5101.Transporte público";"-0,05";"4,5716"
"setembro 2016";"5102.Veículo próprio";"-0,08";"8,2728"
"setembro 2016";"5104.Combustíveis (veículos)";"-0,17";"5,0282"
"setembro 2016";"61.Produtos farmacêuticos e óticos";"-0,08";"3,6996"
"setembro 2016";"62.Serviços de saúde";"0,76";"5,1358"
"setembro 2016";"63.Cuidados pessoais";"0,08";"2,6936"
"setembro 2016";"71.Serviços pessoais";"0,87";"6,5345"
"setembro 2016";"7201001.Cinema";"1,42";"0,1885"
"setembro 2016";"7201002.CD e DVD";"-0,58";"0,0464"
"setembro 2016";"7201003.Ingresso para jogo";"1,84";"0,0113"
"setembro 2016";"7201006.Clube";"0,16";"0,1632"
"setembro 2016";"7201010.Instrumento musical";"-1,65";"0,0451"
"setembro 2016";"7201018.Tratamento de animais";"0,14";"0,2200"
"setembro 2016";"7201019.Bicicleta";"0,31";"0,0962"
"setembro 2016";"7201020.Alimento para animais";"1,42";"0,2561"
"setembro 2016";"7201023.Brinquedo";"0,79";"0,4341"
"setembro 2016";"7201052.Locação de DVD";"0,13";"0,1131"
"setembro 2016";"7201054.Boate e danceteria";"-1,03";"0,2524"
"setembro 2016";"7201063.Jogos de azar";"0,00";"0,4728"
"setembro 2016";"7201068.Motel";"2,40";"0,0037"
"setembro 2016";"7201090.Hotel";"-6,53";"0,3877"
"setembro 2016";"7201095.Excursão";"2,09";"0,3446"
"setembro 2016";"7202.Fumo";"-3,32";"1,0847"
"setembro 2016";"7203.Fotografia e filmagem";"0,66";"0,0719"
"setembro 2016";"8101.Cursos regulares";"0,00";"2,9837"
"setembro 2016";"8102.Leitura";"0,63";"0,5323"
"setembro 2016";"8103.Papelaria";"1,35";"0,3486"
"setembro 2016";"8104.Cursos diversos";"0,02";"0,7988"
"setembro 2016";"9.Comunicação";"0,18";"3,6996"
"outubro 2016";"Índice geral";"0,26";"100,0000"
"outubro 2016";"1.Alimentação e bebidas";"-0,05";"26,0097"
"outubro 2016";"2101.Aluguel e taxas";"0,49";"7,2557"
"outubro 2016";"2103.Reparos";"0,44";"2,4200"
"outubro 2016";"2104.Artigos de limpeza";"0,27";"0,8906"
"outubro 2016";"22.Combustíveis e energia";"0,34";"4,7615"
"outubro 2016";"3.Artigos de residência";"-0,13";"4,2154"
"outubro 2016";"4.Vestuário";"0,45";"5,9471"
"outubro 2016";"5101.Transporte público";"0,72";"4,5668"
"outubro 2016";"5102.Veículo próprio";"-0,02";"8,2592"
"outubro 2016";"5104.Combustíveis (veículos)";"2,04";"5,0154"
"outubro 2016";"61.Produtos farmacêuticos e óticos";"0,13";"3,6936"
"outubro 2016";"62.Serviços de saúde";"0,83";"5,1712"
"outubro 2016";"63.Cuidados pessoais";"0,10";"2,6929"
"outubro 2016";"71.Serviços pessoais";"0,56";"6,5866"
"outubro 2016";"7201001.Cinema";"0,04";"0,1910"
"outubro 2016";"7201002.CD e DVD";"-0,28";"0,0461"
"outubro 2016";"7201003.Ingresso para jogo";"-2,05";"0,0115"
"outubro 2016";"7201006.Clube";"0,40";"0,1634"
"outubro 2016";"7201010.Instrumento musical";"0,06";"0,0444"
"outubro 2016";"7201018.Tratamento de animais";"1,09";"0,2202"
"outubro 2016";"7201019.Bicicleta";"-0,30";"0,0964"
"outubro 2016";"7201020.Alimento para animais";"0,88";"0,2595"
"outubro 2016";"7201023.Brinquedo";"-0,83";"0,4372"
"outubro 2016";"7201052.Locação de DVD";"0,67";"0,1132"
"outubro 2016";"7201054.Boate e danceteria";"-0,37";"0,2495"
"outubro 2016";"7201063.Jogos de azar";"0,00";"0,4723"
"outubro 2016";"7201068.Motel";"-1,33";"0,0038"
"outubro 2016";"7201090.Hotel";"-5,63";"0,3621"
"outubro 2016";"7201095.Excursão";"-0,02";"0,3519"
"outubro 2016";"7202.Fumo";"-1,63";"1,0479"
"outubro 2016";"7203.Fotografia e filmagem";"1,10";"0,0723"
"outubro 2016";"8101.Cursos regulares";"0,00";"2,9813"
"outubro 2016";"8102.Leitura";"0,02";"0,5354"
"outubro 2016";"8103.Papelaria";"0,17";"0,3529"
"outubro 2016";"8104.Cursos diversos";"0,00";"0,7984"
"outubro 2016";"9.Comunicação";"0,07";"3,7037"
"novembro 2016";"Índice geral";"0,18";"100,0000"
"novembro 2016";"1.Alimentação e bebidas";"-0,20";"25,9272"
"novembro 2016";"2101.Aluguel e taxas";"0,36";"7,2728"
"novembro 2016";"2103.Reparos";"0,45";"2,4245"
"novembro 2016";"2104.Artigos de limpeza";"0,18";"0,8906"
"novembro 2016";"22.Combustíveis e energia";"0,16";"4,7653"
"novembro 2016";"3.Artigos de residência";"-0,16";"4,1989"
"novembro 2016";"4.Vestuário";"0,20";"5,9577"
"novembro 2016";"5101.Transporte público";"-0,24";"4,5874"
"novembro 2016";"5102.Veículo próprio";"0,42";"8,2367"
"novembro 2016";"5104.Combustíveis (veículos)";"0,51";"5,1047"
"novembro 2016";"61.Produtos farmacêuticos e óticos";"0,13";"3,6888"
"novembro 2016";"62.Serviços de saúde";"0,87";"5,2011"
"novembro 2016";"63.Cuidados pessoais";"0,58";"2,6884"
"novembro 2016";"71.Serviços pessoais";"0,58";"6,6063"
"novembro 2016";"7201001.Cinema";"0,04";"0,1906"
"novembro 2016";"7201002.CD e DVD";"-0,47";"0,0458"
"novembro 2016";"7201003.Ingresso para jogo";"-5,55";"0,0112"
"novembro 2016";"7201006.Clube";"-0,18";"0,1637"
"novembro 2016";"7201010.Instrumento musical";"-1,20";"0,0443"
"novembro 2016";"7201018.Tratamento de animais";"0,65";"0,2220"
"novembro 2016";"7201019.Bicicleta";"0,06";"0,0958"
"novembro 2016";"7201020.Alimento para animais";"1,58";"0,2612"
"novembro 2016";"7201023.Brinquedo";"0,33";"0,4324"
"novembro 2016";"7201052.Locação de DVD";"0,65";"0,1137"
"novembro 2016";"7201054.Boate e danceteria";"2,34";"0,2479"
"novembro 2016";"7201063.Jogos de azar";"0,00";"0,4711"
"novembro 2016";"7201068.Motel";"0,34";"0,0037"
"novembro 2016";"7201090.Hotel";"-1,63";"0,3409"
"novembro 2016";"7201095.Excursão";"1,34";"0,3511"
"novembro 2016";"7202.Fumo";"-0,05";"1,0282"
"novembro 2016";"7203.Fotografia e filmagem";"1,92";"0,0729"
"novembro 2016";"8101.Cursos regulares";"0,00";"2,9734"
"novembro 2016";"8102.Leitura";"0,14";"0,5341"
"novembro 2016";"8103.Papelaria";"0,54";"0,3525"
"novembro 2016";"8104.Cursos diversos";"0,00";"0,7962"
"novembro 2016";"9.Comunicação";"0,27";"3,6967"
"dezembro 2016";"Índice geral";"0,30";"100,0000"
"dezembro 2016";"1.Alimentação e bebidas";"0,08";"25,8312"
"dezembro 2016";"2101.Aluguel e taxas";"0,23";"7,2858"
"dezembro 2016";"2103.Reparos";"0,44";"2,4312"
"dezembro 2016";"2104.Artigos de limpeza";"1,18";"0,8906"
"dezembro 2016";"22.Combustíveis e energia";"-2,71";"4,7646"
