"Tabela 1419 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Brasil"
"Mês";"Geral, grupo, subgrupo, item e subitem";"IPCA - Variação mensal (%)";"IPCA - Peso mensal (%)"
"abril 2012";"7201090.Hotel";"1,63";"0,3982"
"abril 2012";"7201095.Excursão";"1,88";"0,3609"
"abril 2012";"7202.Fumo";"15,04";"0,7714"
"abril 2012";"7203.Fotografia e filmagem";"-0,41";"0,0832"
"abril 2012";"8101.Cursos regulares";"0,06";"2,9358"
"abril 2012";"8102.Leitura";"0,10";"0,5592"
"abril 2012";"8103.Papelaria";"-0,15";"0,3312"
"abril 2012";"8104.Cursos diversos";"0,00";"0,7790"
"abril 2012";"9.Comunicação";"0,46";"4,8866"
"maio 2012";"Índice geral";"0,36";"100,0000"
"maio 2012";"1.Alimentação e bebidas";"0,73";"23,1106"
"maio 2012";"2101.Aluguel e taxas";"0,95";"6,8613"
"maio 2012";"2103.Reparos";"1,01";"2,4259"
"maio 2012";"2104.Artigos de limpeza";"0,20";"0,8332"
"maio 2012";"22.Combustíveis e energia";"0,57";"4,5751"
"maio 2012";"3.Artigos de residência";"0,17";"4,5449"
"maio 2012";"4.Vestuário";"0,89";"6,5601"
"maio 2012";"5101.Transporte público";"-1,16";"4,9488"
"maio 2012";"5102.Veículo próprio";"-0,26";"10,1400"
"maio 2012";"5104.Combustíveis (veículos)";"-0,64";"5,2089"
"maio 2012";"61.Produtos farmacêuticos e óticos";"0,93";"3,7808"
"maio 2012";"62.Serviços de saúde";"0,62";"4,7114"
"maio 2012";"63.Cuidados pessoais";"0,37";"2,6533"
"maio 2012";"71.Serviços pessoais";"0,50";"6,1684"
"maio 2012";"7201001.Cinema";"0,68";"0,1825"
"maio 2012";"7201002.CD e DVD";"0,43";"0,0644"
"maio 2012";"7201003.Ingresso para jogo";"1,64";"0,0149"
"maio 2012";"7201006.Clube";"-0,16";"0,1590"
"maio 2012";"7201010.Instrumento musical";"0,35";"0,0412"
"maio 2012";"7201018.Tratamento de animais";"0,45";"0,1959"
"maio 2012";"7201019.Bicicleta";"0,48";"0,0951"
"maio 2012";"7201020.Alimento para animais";"0,98";"0,2474"
"maio 2012";"7201023.Brinquedo";"0,56";"0,4457"
"maio 2012";"7201052.Locação de DVD";"0,91";"0,1396"
"maio 2012";"7201054.Boate e danceteria";"-0,40";"0,2938"
"maio 2012";"7201063.Jogos de azar";"0,00";"0,4070"
"maio 2012";"7201068.Motel";"-6,72";"0,0041"
"maio 2012";"7201090.Hotel";"-0,25";"0,4021"
"maio 2012";"7201095.Excursão";"-4,81";"0,3651"
"maio 2012";"7202.Fumo";"4,64";"0,8817"
"maio 2012";"7203.Fotografia e filmagem";"-0,07";"0,0823"
"maio 2012";"8101.Cursos regulares";"0,00";"2,9189"
"maio 2012";"8102.Leitura";"-0,15";"0,5561"
"maio 2012";"8103.Papelaria";"0,15";"0,3286"
"maio 2012";"8104.Cursos diversos";"0,00";"0,7739"
"maio 2012";"9.Comunicação";"-0,19";"4,8777"
"junho 2012";"Índice geral";"0,08";"100,0000"
"junho 2012";"1.Alimentação e bebidas";"0,68";"23,1937"
"junho 2012";"2101.Aluguel e taxas";"0,68";"6,9026"
"junho 2012";"2103.Reparos";"0,47";"2,4413"
"junho 2012";"2104.Artigos de limpeza";"0,23";"0,8317"
"junho 2012";"22.Combustíveis e energia";"-0,42";"4,5843"
"junho 2012";"3.Artigos de residência";"-0,03";"4,5355"
"junho 2012";"4.Vestuário";"0,39";"6,5934"
"junho 2012";"5101.Transporte público";"0,80";"4,8751"
"junho 2012";"5102.Veículo próprio";"-2,48";"10,0770"
"junho 2012";"5104.Combustíveis (veículos)";"-0,51";"5,1569"
"junho 2012";"61.Produtos farmacêuticos e óticos";"0,05";"3,8019"
"junho 2012";"62.Serviços de saúde";"0,61";"4,7248"
"junho 2012";"63.Cuidados pessoais";"0,44";"2,6531"
"junho 2012";"71.Serviços pessoais";"0,47";"6,1777"
"junho 2012";"7201001.Cinema";"1,09";"0,1831"
"junho 2012";"7201002.CD e DVD";"-0,72";"0,0644"
"junho 2012";"7201003.Ingresso para jogo";"0,65";"0,0150"
"junho 2012";"7201006.Clube";"0,13";"0,1582"
"junho 2012";"7201010.Instrumento musical";"0,57";"0,0412"
"junho 2012";"7201018.Tratamento de animais";"0,49";"0,1961"
"junho 2012";"7201019.Bicicleta";"0,30";"0,0952"
"junho 2012";"7201020.Alimento para animais";"-0,54";"0,2490"
"junho 2012";"7201023.Brinquedo";"1,35";"0,4466"
"junho 2012";"7201052.Locação de DVD";"0,33";"0,1404"
"junho 2012";"7201054.Boate e danceteria";"-1,32";"0,2916"
