"Tabela 2938 - IPCA - Variação mensal, acumulada no ano e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de julho/2006 até dezembro/2011)"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Brasil"
"Mês";"Geral, grupo, subgrupo, item e subitem";"IPCA - Variação mensal (%)";"IPCA - Peso mensal (%)"
"outubro 2006";"7201054.Boate, danceteria e discoteca";"1,27";"0,4281"
"outubro 2006";"7201063.Jogos de azar";"0,00";"0,4322"
"outubro 2006";"7201068.Motel";"-0,64";"0,0842"
"outubro 2006";"7201083.Material esportivo";"0,25";"0,0051"
"outubro 2006";"7201090.Hotel";"0,40";"0,2991"
"outubro 2006";"7201095.Excursão";"1,19";"0,1130"
"outubro 2006";"7202.Fumo";"1,31";"0,7661"
"outubro 2006";"7203.Fotografia e filmagem";"-0,57";"0,2637"
"outubro 2006";"8101.Cursos";"0,07";"4,8725"
"outubro 2006";"8102.Leitura";"0,03";"0,8353"
"outubro 2006";"8103.Papelaria";"1,56";"0,3291"
"outubro 2006";"8104.Cursos diversos";"0,35";"1,0557"
"outubro 2006";"9.Comunicação";"-0,01";"6,4970"
"novembro 2006";"Índice geral";"0,31";"100,0000"
"novembro 2006";"1.Alimentação e bebidas";"1,05";"20,3582"
"novembro 2006";"2101.Aluguel e taxas";"0,14";"6,3441"
"novembro 2006";"2103.Reparos";"0,22";"1,4010"
"novembro 2006";"2104.Artigos de limpeza";"-0,30";"0,7830"
"novembro 2006";"22.Combustíveis e energia";"-0,40";"5,1691"
"novembro 2006";"3.Artigos de residência";"0,00";"4,7682"
"novembro 2006";"4.Vestuário";"0,65";"6,5359"
"novembro 2006";"5101.Transporte público";"0,10";"6,3244"
"novembro 2006";"5102.Veículo próprio";"-0,15";"9,1291"
"novembro 2006";"5104.Combustíveis (veículos)";"-0,21";"5,3225"
"novembro 2006";"61.Produtos farmacêuticos e óticos";"-0,06";"3,4602"
"novembro 2006";"62.Serviços de saúde";"0,57";"4,9689"
"novembro 2006";"63.Cuidados pessoais";"-0,11";"2,3738"
"novembro 2006";"71.Serviços pessoais";"0,40";"5,0069"
"novembro 2006";"7201001.Cinema";"-0,37";"0,3053"
"novembro 2006";"7201003.Ingresso para jogo";"5,16";"0,0488"
"novembro 2006";"7201006.Clube";"0,22";"0,1997"
"novembro 2006";"7201008.Disco laser";"-0,37";"0,2764"
"novembro 2006";"7201010.Instrumento musical";"1,52";"0,0946"
"novembro 2006";"7201018.Compra e tratamento de animais";"-0,09";"0,0683"
"novembro 2006";"7201019.Bicicleta";"0,23";"0,0846"
"novembro 2006";"7201020.Alimento para animais";"0,05";"0,3238"
"novembro 2006";"7201023.Brinquedo";"-0,28";"0,4604"
"novembro 2006";"7201052.Aluguel de DVD e fita de videocassete";"1,24";"0,2362"
"novembro 2006";"7201054.Boate, danceteria e discoteca";"0,95";"0,4321"
"novembro 2006";"7201063.Jogos de azar";"0,00";"0,4307"
"novembro 2006";"7201068.Motel";"-0,62";"0,0834"
"novembro 2006";"7201083.Material esportivo";"2,34";"0,0051"
"novembro 2006";"7201090.Hotel";"-0,03";"0,2993"
"novembro 2006";"7201095.Excursão";"0,94";"0,1140"
"novembro 2006";"7202.Fumo";"4,63";"0,7735"
"novembro 2006";"7203.Fotografia e filmagem";"0,25";"0,2614"
"novembro 2006";"8101.Cursos";"0,00";"4,8601"
"novembro 2006";"8102.Leitura";"0,03";"0,8328"
"novembro 2006";"8103.Papelaria";"-0,21";"0,3331"
"novembro 2006";"8104.Cursos diversos";"0,21";"1,0559"
"novembro 2006";"9.Comunicação";"-0,10";"6,4750"
"dezembro 2006";"Índice geral";"0,48";"100,0000"
"dezembro 2006";"1.Alimentação e bebidas";"0,39";"20,5083"
"dezembro 2006";"2101.Aluguel e taxas";"0,39";"6,3337"
"dezembro 2006";"2103.Reparos";"0,09";"1,3997"
"dezembro 2006";"2104.Artigos de limpeza";"0,18";"0,7782"
"dezembro 2006";"22.Combustíveis e energia";"-0,03";"5,1328"
"dezembro 2006";"3.Artigos de residência";"-0,18";"4,7534"
"dezembro 2006";"4.Vestuário";"1,00";"6,5578"
"dezembro 2006";"5101.Transporte público";"3,78";"6,3113"
"dezembro 2006";"5102.Veículo próprio";"0,23";"9,0869"
"dezembro 2006";"5104.Combustíveis (veículos)";"-0,43";"5,2939"
"dezembro 2006";"61.Produtos farmacêuticos e óticos";"0,30";"3,4474"
"dezembro 2006";"62.Serviços de saúde";"0,49";"4,9816"
"dezembro 2006";"63.Cuidados pessoais";"-0,35";"2,3637"
"dezembro 2006";"71.Serviços pessoais";"0,04";"5,0113"
"dezembro 2006";"7201001.Cinema";"1,60";"0,3032"
"dezembro 2006";"7201003.Ingresso para jogo";"-0,84";"0,0511"
"dezembro 2006";"7201006.Clube";"-0,29";"0,1996"
"dezembro 2006";"7201008.Disco laser";"1,21";"0,2745"
"dezembro 2006";"7201010.Instrumento musical";"-0,06";"0,0957"
"dezembro 2006";"7201018.Compra e tratamento de animais";"2,00";"0,0681"
"dezembro 2006";"7201019.Bicicleta";"0,13";"0,0845"
"dezembro 2006";"7201020.Alimento para animais";"0,42";"0,3229"
"dezembro 2006";"7201023.Brinquedo";"0,74";"0,4577"
"dezembro 2006";"7201052.Aluguel de DVD e fita de videocassete";"0,21";"0,2384"
"dezembro 2006";"7201054.Boate, danceteria e discoteca";"1,35";"0,4350"
"dezembro 2006";"7201063.Jogos de azar";"0,00";"0,4295"
"dezembro 2006";"7201068.Motel";"0,47";"0,0826"
"dezembro 2006";"7201083.Material esportivo";"1,10";"0,0052"
"dezembro 2006";"7201090.Hotel";"0,59";"0,2982"
"dezembro 2006";"7201095.Excursão";"1,52";"0,1147"
"dezembro 2006";"7202.Fumo";"1,88";"0,8070"
"dezembro 2006";"7203.Fotografia e filmagem";"0,19";"0,2613"
"dezembro 2006";"8101.Cursos";"0,00";"4,8452"
"dezembro 2006";"8102.Leitura";"0,73";"0,8306"
"dezembro 2006";"8103.Papelaria";"1,40";"0,3313"
"dezembro 2006";"8104.Cursos diversos";"0,12";"1,0548"
"dezembro 2006";"9.Comunicação";"-0,01";"6,4489"
"janeiro 2007";"Índice geral";"0,44";"100,0000"
"janeiro 2007";"1.Alimentação e bebidas";"0,84";"20,4936"
"janeiro 2007";"2101.Aluguel e taxas";"0,64";"6,3267"
"janeiro 2007";"2103.Reparos";"0,04";"1,3941"
"janeiro 2007";"2104.Artigos de limpeza";"0,82";"0,7762"
"janeiro 2007";"22.Combustíveis e energia";"-0,76";"5,1081"
"janeiro 2007";"3.Artigos de residência";"0,29";"4,7218"
"janeiro 2007";"4.Vestuário";"-0,19";"6,5935"
"janeiro 2007";"5101.Transporte público";"1,54";"6,5189"
"janeiro 2007";"5102.Veículo próprio";"0,30";"9,0605"
"janeiro 2007";"5104.Combustíveis (veículos)";"0,01";"5,2464"
"janeiro 2007";"61.Produtos farmacêuticos e óticos";"0,33";"3,4423"
"janeiro 2007";"62.Serviços de saúde";"0,73";"4,9824"
"janeiro 2007";"63.Cuidados pessoais";"0,14";"2,3450"
"janeiro 2007";"71.Serviços pessoais";"0,67";"4,9891"
"janeiro 2007";"7201001.Cinema";"1,35";"0,3065"
"janeiro 2007";"7201003.Ingresso para jogo";"2,00";"0,0506"
"janeiro 2007";"7201006.Clube";"1,11";"0,1979"
"janeiro 2007";"7201008.Disco laser";"1,63";"0,2767"
"janeiro 2007";"7201010.Instrumento musical";"0,59";"0,0951"
"janeiro 2007";"7201018.Compra e tratamento de animais";"0,60";"0,0691"
"janeiro 2007";"7201019.Bicicleta";"2,05";"0,0844"
"janeiro 2007";"7201020.Alimento para animais";"0,02";"0,3229"
"janeiro 2007";"7201023.Brinquedo";"0,17";"0,4591"
"janeiro 2007";"7201052.Aluguel de DVD e fita de videocassete";"1,88";"0,2377"
"janeiro 2007";"7201054.Boate, danceteria e discoteca";"0,37";"0,4386"
"janeiro 2007";"7201063.Jogos de azar";"0,00";"0,4274"
"janeiro 2007";"7201068.Motel";"1,88";"0,0826"
"janeiro 2007";"7201083.Material esportivo";"0,08";"0,0053"
"janeiro 2007";"7201090.Hotel";"1,21";"0,2986"
"janeiro 2007";"7201095.Excursão";"5,61";"0,1156"
"janeiro 2007";"7202.Fumo";"0,00";"0,8177"
"janeiro 2007";"7203.Fotografia e filmagem";"0,23";"0,2603"
"janeiro 2007";"8101.Cursos";"0,02";"4,8207"
"janeiro 2007";"8102.Leitura";"0,70";"0,8326"
"janeiro 2007";"8103.Papelaria";"-0,50";"0,3345"
"janeiro 2007";"8104.Cursos diversos";"-0,03";"1,0509"
"janeiro 2007";"9.Comunicação";"0,07";"6,4168"
"fevereiro 2007";"Índice geral";"0,44";"100,0000"
"fevereiro 2007";"1.Alimentação e bebidas";"0,78";"20,5755"
"fevereiro 2007";"2101.Aluguel e taxas";"0,40";"6,3399"
"fevereiro 2007";"2103.Reparos";"0,14";"1,3892"
"fevereiro 2007";"2104.Artigos de limpeza";"0,36";"0,7791"
"fevereiro 2007";"22.Combustíveis e energia";"-0,08";"5,0473"
"fevereiro 2007";"3.Artigos de residência";"-0,45";"4,7150"
"fevereiro 2007";"4.Vestuário";"-0,72";"6,5530"
"fevereiro 2007";"5101.Transporte público";"1,00";"6,5880"
"fevereiro 2007";"5102.Veículo próprio";"-0,08";"9,0487"
"fevereiro 2007";"5104.Combustíveis (veículos)";"-0,83";"5,2253"
"fevereiro 2007";"61.Produtos farmacêuticos e óticos";"0,09";"3,4386"
"fevereiro 2007";"62.Serviços de saúde";"0,82";"4,9968"
"fevereiro 2007";"63.Cuidados pessoais";"-0,01";"2,3381"
"fevereiro 2007";"71.Serviços pessoais";"0,61";"5,0008"
"fevereiro 2007";"7201001.Cinema";"0,38";"0,3093"
"fevereiro 2007";"7201003.Ingresso para jogo";"2,08";"0,0514"
"fevereiro 2007";"7201006.Clube";"1,42";"0,1992"
"fevereiro 2007";"7201008.Disco laser";"-0,41";"0,2799"
"fevereiro 2007";"7201010.Instrumento musical";"1,23";"0,0952"
"fevereiro 2007";"7201018.Compra e tratamento de animais";"-0,21";"0,0692"
"fevereiro 2007";"7201019.Bicicleta";"-0,10";"0,0857"
"fevereiro 2007";"7201020.Alimento para animais";"1,17";"0,3215"
"fevereiro 2007";"7201023.Brinquedo";"0,84";"0,4579"
"fevereiro 2007";"7201052.Aluguel de DVD e fita de videocassete";"-0,08";"0,2411"
"fevereiro 2007";"7201054.Boate, danceteria e discoteca";"-0,46";"0,4386"
"fevereiro 2007";"7201063.Jogos de azar";"0,00";"0,4254"
"fevereiro 2007";"7201068.Motel";"0,78";"0,0837"
"fevereiro 2007";"7201083.Material esportivo";"1,66";"0,0053"
"fevereiro 2007";"7201090.Hotel";"0,92";"0,3008"
"fevereiro 2007";"7201095.Excursão";"-1,55";"0,1215"
"fevereiro 2007";"7202.Fumo";"0,00";"0,8142"
"fevereiro 2007";"7203.Fotografia e filmagem";"-0,46";"0,2597"
"fevereiro 2007";"8101.Cursos";"4,26";"4,8006"
"fevereiro 2007";"8102.Leitura";"0,14";"0,8347"
"fevereiro 2007";"8103.Papelaria";"0,37";"0,3314"
"fevereiro 2007";"8104.Cursos diversos";"3,56";"1,0458"
"fevereiro 2007";"9.Comunicação";"-0,28";"6,3924"
"março 2007";"Índice geral";"0,37";"100,0000"
"março 2007";"1.Alimentação e bebidas";"0,98";"20,6431"
"março 2007";"2101.Aluguel e taxas";"0,41";"6,3377"
"março 2007";"2103.Reparos";"2,04";"1,3859"
"março 2007";"2104.Artigos de limpeza";"0,03";"0,7785"
"março 2007";"22.Combustíveis e energia";"-0,40";"5,0213"
"março 2007";"3.Artigos de residência";"-0,41";"4,6734"
"março 2007";"4.Vestuário";"0,47";"6,4762"
"março 2007";"5101.Transporte público";"0,07";"6,6224"
"março 2007";"5102.Veículo próprio";"0,13";"9,0027"
"março 2007";"5104.Combustíveis (veículos)";"0,57";"5,1603"
"março 2007";"61.Produtos farmacêuticos e óticos";"-0,01";"3,4263"
"março 2007";"62.Serviços de saúde";"0,69";"5,0149"
"março 2007";"63.Cuidados pessoais";"0,02";"2,3271"
"março 2007";"71.Serviços pessoais";"0,65";"5,0090"
